name,found,error,cid,smiles,mol_weight
2-Selenium-bridged-beta-cyclodextrin,False,HTTP 404,,,
Floxuridine,True,,5790.0,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,246.19
Vitamin E,True,,14985.0,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,430.7
LY-294002,True,,3973.0,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,307.3
Tocotrienol,True,,9929901.0,CC(=CCC/C(=C/CC/C(=C/CCC1(CCC2=C(O1)C=CC(=C2)O)C)/C)/C)C,382.6
EUK-8,True,,171249.0,C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2[O-])[O-].[Cl-].[Mn+3],356.68
EUK-134,True,,9823233.0,COC1=CC=CC(=C1[O-])C=NCCN=CC2=C(C(=CC=C2)OC)[O-].[Cl-].[Mn+3],416.7
Coenzyme Q10,True,,5281915.0,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,863.3
Resveratrol,True,,445154.0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,228.24
Trimethadione,True,,5576.0,CC1(C(=O)N(C(=O)O1)C)C,143.14
Ethosuximide,True,,3291.0,CCC1(CC(=O)NC1=O)C,141.17
"3,3-diethyl-2-pyrrolidinone",True,,9793807.0,CCC1(CCNC1=O)CC,141.21
Dauer-inducing Pheromone,False,HTTP 404,,,
Ampicillin,True,,6249.0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,349.4
Vaccinium angustifolium extract,False,HTTP 404,,,
Ginkgo biloba extract,False,HTTP 404,,,
Tamarixetin,True,,5281699.0,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26
Epigallocatechin-3-gallate,True,,65064.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.4
Alpha-lipoic acid,True,,864.0,C1CSSC1CCCCC(=O)O,206.3
Gamma-tocopherol,True,,92729.0,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,416.7
Pregnenolone,True,,8955.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,316.5
4-dafachronic acid,False,HTTP 404,,,
2-deoxy-D-glucose,True,,108223.0,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,164.16
Lithium Chloride,True,,433294.0,[Li+].[Cl-],42.4
Quercetin,True,,5280343.0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.23
Mianserin,True,,4184.0,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,264.4
Hydrogen Sulphide,True,,402.0,S,34.08
FCCP,True,,3330.0,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,254.17
Myxothiazol,True,,10972974.0,C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC,487.7
Valproic acid,True,,3121.0,CCCC(CCC)C(=O)O,144.21
Platinum nanoparticles,False,HTTP 404,,,
Reserpine,True,,5770.0,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,608.7
Rhodiola rosea extract,False,HTTP 404,,,
Eleutherococcus senticosus extract,False,HTTP 404,,,
Propyl gallate,True,,4947.0,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,212.20
Taxifolin,True,,439533.0,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,304.25
Trolox,True,,40634.0,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C,250.29
Gliotoxin,True,,6223.0,CN1C(=O)[C@]23CC4=CC=C[C@@H]([C@H]4N2C(=O)[C@]1(SS3)CO)O,326.4
Nicotinamide adenine dinucleotide,True,,5892.0,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,663.4
Carbonylcyanide-3-chlorophenylhydrazone,True,,2603.0,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,204.61
Catechin,True,,9064.0,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27
Juglone,True,,3806.0,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,174.15
Oxaloacetate,True,,970.0,C(C(=O)C(=O)O)C(=O)O,132.07
Spermidine,True,,1102.0,C(CCNCCCN)CN,145.25
Reishi extract,False,HTTP 404,,,
Acetic Acid,True,,176.0,CC(=O)O,60.05
Sorbitol,True,,5780.0,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,182.17
Glucose,True,,5793.0,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,180.16
Metformin,True,,4091.0,CN(C)C(=N)N=C(N)N,129.16
SQDB,False,HTTP 404,,,
Tannic acid,True,,16129778.0,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,1701.2
Phaseolus vulgaris extract,False,HTTP 404,,,
Maltose,True,,439186.0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,342.30
Trehalose,True,,7427.0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,342.30
Epicatechin,True,,72276.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27
DhHP-6,False,HTTP 404,,,
Apple extract,False,HTTP 404,,,
Procyanidins,True,,107876.0,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,594.5
Dimethyl sulfoxide,True,,679.0,CS(=O)C,78.14
Electrolyzed reduced water,False,HTTP 404,,,
Dapsone,True,,2955.0,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.30
Sodium pyruvate,True,,23662274.0,CC(=O)C(=O)[O-].[Na+],110.04
Paraquat,True,,15939.0,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,186.25
Dichloroacetate,True,,25975.0,C(C(=O)[O-])(Cl)Cl,127.93
Glaucarubinone,True,,441796.0,CC[C@@](C)(C(=O)O[C@@H]1[C@H]2[C@H]([C@H]([C@]3([C@H]4[C@@]2(CO3)[C@@H](C[C@@H]5[C@@]4([C@@H](C(=O)C=C5C)O)C)OC1=O)O)O)C)O,494.5
Diallyl trisulfide,True,,16315.0,C=CCSSSCC=C,178.3
Celecoxib,True,,2662.0,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,381.4
Thioflavin T,True,,16953.0,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],318.9
Rosmarinic acid,True,,5281792.0,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,360.3
Caffeic acid,True,,689043.0,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.16
Q3'G,False,HTTP 404,,,
Q3M,True,,155818889.0,CC(=O)N[C@H]1[C@H](C[C@@H]([C@@H]([C@@H]1O)O)CO)SC,249.33
Ferulsinaic acid,True,,102469382.0,C[C@H]1C[C@H]([C@@]([C@@H]1COC2=CC3=C(C=C2)C=CC(=O)O3)(C)CCC(=O)O)C=C(C)C,398.5
Plumbagin,True,,10205.0,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,188.18
Oxoline,True,,169137.0,C1=CC=C2C(=C1)C(=O)C(=O)C(=O)C2=O,188.14
Naphthazarin,True,,10141.0,C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O,190.15
Isorhamnetin,True,,5281654.0,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26
Ellagic acid,True,,5281855.0,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,302.19
Gallic Acid,True,,370.0,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12
Curcumin,True,,969516.0,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.4
Royal Jelly,False,HTTP 404,,,
Astragalus extract,False,HTTP 404,,,
Lonidamine,True,,39562.0,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,321.2
Astaxanthin,True,,5281224.0,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C,596.8
Dafadine-A,True,,24790866.0,CC1=C(C(=CC=C1)C)OCC2=CC(=NO2)C(=O)N3CCC(CC3)C4=CC=NC=C4,391.5
Ciclopirox olamine,True,,38911.0,CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N,268.35
Bacitracin,True,,10909430.0,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4,1422.7
Baicalein,True,,5281605.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24
Acetaminophen,True,,1983.0,CC(=O)NC1=CC=C(C=C1)O,151.16
Kaempferol,True,,5280863.0,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24
Myricetin,True,,5281672.0,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,318.23
Icariin,True,,5318997.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O,676.7
Damnacanthus officinarum root extract,False,HTTP 404,,,
Damnacanthus officinarum leaf extract,False,HTTP 404,,,
L-theanine,True,,439378.0,CCNC(=O)CC[C@@H](C(=O)O)N,174.20
Ferric ammonium citrate,True,,118984355.0,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.N.[Fe+3],265.00
Proline,True,,145742.0,C1C[C@H](NC1)C(=O)O,115.13
"1,2,4-triazolo[1,5-a]pyridine",True,,67508.0,C1=CC2=NC=NN2C=C1,119.12
Proanthocycanidin,False,HTTP 404,,,
HuminFeed,False,HTTP 404,,,
HF-HQ,False,HTTP 404,,,
Rapamycin,True,,5284616.0,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,914.2
Tyrosol,True,,10393.0,C1=CC(=CC=C1CCO)O,138.16
Cranberry extract,False,HTTP 404,,,
Aspirin,True,,2244.0,CC(=O)OC1=CC=CC=C1C(=O)O,180.16
Salicylic acid,True,,338.0,C1=CC=C(C(=C1)C(=O)O)O,138.12
Quinic acid,True,,6508.0,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O,192.17
4-hydroxy-E-globularinin,False,HTTP 404,,,
Dimethyl formamide,True,,6228.0,CN(C)C=O,73.09
Omega-6,False,HTTP 404,,,
DETA NONOate,True,,135402056.0,C(CN(CCN)/[N+](=N/O)/[O-])N,163.18
MAHMA-NONOate,True,,135518414.0,C[NH2+]CCCCCCN(C)/[N+](=N/[O-])/[O-],204.27
Fumarate,True,,5460307.0,C(=C/C(=O)[O-])\C(=O)[O-],114.06
Malate,True,,525.0,C(C(C(=O)O)O)C(=O)O,134.09
Ascr#2,True,,16066475.0,C[C@H]1[C@@H](C[C@H]([C@@H](O1)O[C@H](C)CCC(=O)C)O)O,246.30
Ascr#3,True,,16066476.0,C[C@H]1[C@@H](C[C@H]([C@@H](O1)O[C@H](C)CCCC/C=C/C(=O)O)O)O,302.36
Platycladus orientalis extract,False,HTTP 404,,,
Huperzine A,True,,854026.0,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,242.32
Fish oil,False,HTTP 404,,,
Arsenite,True,,544.0,[O-][As]([O-])[O-],122.920
Phenformin,True,,8249.0,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,205.26
Phosphatidylinositol ether lipid analogue 24 ,False,HTTP 404,,,
Phosphatidylinositol ether lipid analogue 6,False,HTTP 404,,,
Pictilisib,True,,17755052.0,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,513.6
Fenofibrate,True,,3339.0,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8
Bezafibrate,True,,39042.0,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.8
Clofibrate,True,,2796.0,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.70
Ethidium bromide,True,,14710.0,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],394.3
Doxycycline,True,,54671203.0,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.4
Chloramphenicol,True,,5959.0,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],323.13
Protocatechuic acid,True,,72.0,C1=CC(=C(C=C1C(=O)O)O)O,154.12
Sulfamethoxazole,True,,5329.0,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.28
Nicotinamide,True,,936.0,C1=CC(=CN=C1)C(=O)N,122.12
1-methyl nicotinamide,True,,457.0,C[N+]1=CC=CC(=C1)C(=O)N,137.16
GYY4137,True,,46937261.0,COC1=CC=C(C=C1)P(=S)(N2CCOCC2)S.C1COCCN1,376.5
Vincristine sulfate,True,,249332.0,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,923.0
Vinpocetine,True,,443955.0,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,350.5
Tyrphostin AG 1478,True,,2051.0,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,315.75
Trequinsin hydrochloride,True,,3060974.0,CC1=CC(=C(C(=C1)C)N=C2C=C3C4=CC(=C(C=C4CCN3C(=O)N2C)OC)OC)C.Cl,441.9
Psora-4,True,,6603977.0,C1=CC=C(C=C1)CCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4,334.4
Thioridazine hydrochloride,True,,66062.0,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,407.0
SU 4312,True,,6450842.0,CN(C)C1=CC=C(C=C1)/C=C\2/C3=CC=CC=C3NC2=O,264.32
Propionylpromazine hydrochloride,True,,24351.0,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C.Cl,376.9
Quinidine sulfate,True,,441326.0,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.OS(=O)(=O)O,746.9
Nitrendipine,True,,4507.0,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,360.4
Pergolide methanesulfonate,True,,47812.0,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O,410.6
Promethazine hydrochloride,True,,6014.0,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,320.9
Nicardipine hydrochloride,True,,41114.0,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl,516.0
Oxatomide,True,,4615.0,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,426.6
Octoclothepin maleate,True,,11957654.0,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(=C\C(=O)O)\C(=O)O,461.0
Nortriptyline hydrochloride,True,,441358.0,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,299.8
Naftopidil dihydrochloride,True,,11957660.0,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O.Cl.Cl,465.4
N-(2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide,True,,3626837.0,COC1=CC=CC(=C1)C(=O)NCCN2CCN(CC2)C3=CC=C(C=C3)Cl,373.9
Minocycline hydrochloride,True,,54685925.0,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl,493.9
Methylergonovine maleate,True,,5281072.0,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O,455.5
Metergoline,True,,28693.0,CN1C[C@@H](C[C@H]2[C@H]1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,403.5
"LY-367,265",True,,4605800.0,C1CC2=C3C(=CC=C2)N(S(=O)(=O)N3C1)CCN4CCC(=CC4)C5=CNC6=C5C=CC(=C6)F,452.5
"LY-165,163",True,,121930.0,C1CN(CCN1CCC2=CC=C(C=C2)N)C3=CC=CC(=C3)C(F)(F)F,349.4
Loxapine succinate,True,,71399.0,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O,445.9
Loratadine,True,,3957.0,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9
LFM-A13,True,,54676905.0,C/C(=C(\C#N)/C(=O)NC1=C(C=CC(=C1)Br)Br)/O,360.00
Ketanserin tartrate,True,,16219944.0,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,545.5
Kenpaullone,True,,3820.0,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,327.17
Hexahydro-sila-diphenidol,True,,3602.0,C1CCC(CC1)[Si](CCCN2CCCCC2)(C3=CC=CC=C3)O,331.6
Guanabenz acetate,True,,5702062.0,CC(=O)O.C1=CC(=C(C(=C1)Cl)/C=N/N=C(N)N)Cl,291.13
Guanfacine hydrochloride,True,,71401.0,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl,282.5
Eliprodil,True,,60703.0,C1CN(CCC1CC2=CC=C(C=C2)F)CC(C3=CC=C(C=C3)Cl)O,347.9
Doxycycline hydrochloride,True,,54685920.0,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,480.9
Doxazosin mesylate,True,,62978.0,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,547.6
Dihydroergocristine methanesulfonate,True,,444034.0,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,707.8
Demeclocycline hydrochloride,True,,54686764.0,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,501.3
Dihydroergotamine methanesulfonate,True,,71171.0,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,679.8
DAPH,True,,1697.0,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4,329.4
